,ranking,school,district,rating,grade,student,ratio
662,662,Cold Springs School,Gloucester City Public School District,B,"PK, K-3",884,13 to 1
663,663,Hawthorne Elementary School,Teaneck School District,B,K-4,345,11 to 1
664,664,Howell Township Memorial Elementary School,Howell Township Public School District,B,5-Mar,286,9 to 1
665,665,Glendora Elementary School,Gloucester Township School District,B,K-5,232,13 to 1
666,666,Highlands Elementary School,HIGHLANDS,B,"PK, K-6",179,8 to 1
667,667,Watchung Elementary School,Middlesex Borough School District,B,K-3,268,14 to 1
668,668,Wilson Elementary School,Lodi School District,B,"PK, K-5",351,15 to 1
669,669,Benedict A. Cucinella School,Washington Township School District (Long Valley),B,"PK, K-5",499,11 to 1
670,-1,Jefferson Elementary School,Twp Of Union Board Of Education School District,B,5,521,10 to 1
671,671,Washington Irving School No. 4,Garfield Public School District,B,"PK, K-5",408,12 to 1
672,672,Weymouth Township Elementary School,DOROTHY,B,"PK, K-8",143,9 to 1
673,673,Cliffside Park School No. 3,Cliffside Park School District,B,"PK, K-4",385,14 to 1
674,674,Mannington Township School,SALEM,B,"PK, K-8",169,8 to 1
675,675,Fleetwood Elementary School,Mount Laurel Township School District,B,"PK, K-4",388,12 to 1
676,676,Perry L. Drew Elementary School,East Windsor Regional School District,B,5-Mar,580,10 to 1
677,677,Joseph J. Catena School,Freehold Township School District,B,K-5,456,10 to 1
678,678,Berlin Community School,BERLIN,B,"PK, K-8",810,11 to 1
679,679,Nicolaus Copernicus School - P.S. 25,Jersey City School District,B,"PK, K-5",669,12 to 1
680,680,Griebling School,Howell Township Public School District,B,K-2,269,8 to 1
681,681,Livingston Park Elementary School,North Brunswick Township School District,B,"PK, K-4",457,8 to 1
682,682,Memorial School,North Haledon School District,B,"PK, K-4",337,10 to 1
683,683,Mansion Avenue School,Audubon Public School Disrict,B,6-Mar,387,11 to 1
684,684,Clementon Elementary School,CLEMENTON,B,"PK, K-8",491,10 to 1
685,686,Neeta School,Medford Lakes School District,B,8-Mar,361,11 to 1
686,687,Robert Mascenick Elementary School,Woodbridge Township School District,B,K-5,333,15 to 1
687,688,Washington Elementary School,West Orange Public Schools,B,K-5,417,11 to 1
688,689,MacAfee Road School,Franklin Township Public School District,B,"PK, K-5",376,9 to 1
689,690,Victor Mravlag School No. 21,Elizabeth Public Schools,B,"PK, K-8",596,12 to 1
690,691,Lillian Drive School,Hazlet Township Public School District,B,4-Jan,253,10 to 1
691,692,Nixon Elementary School,Roxbury Township School District,B,"PK, K-4",262,11 to 1
692,693,Broad Street Elementary School,Greenwich Township School District (Gibbstown),B,"PK, K-5",296,10 to 1
693,694,Beloved Community Charter School,JERSEY CITY,B,K-10,1311,15 to 1
694,695,Dr. Paul Rafalides School - P.S. 33,Jersey City School District,B,"PK, K-4",410,13 to 1
695,696,Midland School,ROCHELLE PARK,B,"PK, K-8",508,12 to 1
696,697,Frances DeMasi Elementary School,Evesham Township School District,B,K-5,271,10 to 1
697,698,Hatchery Hill Elementary School,Hackettstown Public School District,B,"PK, K-2",314,12 to 1
698,699,Land O' Pines School,Howell Township Public School District,B,"PK, K-2",511,11 to 1
699,700,Oaklyn Public School,OAKLYN,B,"PK, K-5",282,12 to 1
700,701,James W. Lilley Jr. Elementary School,Gloucester Township School District,B,"PK, K-5",530,12 to 1
701,702,Thomas Jefferson School #9,Garfield Public School District,B,"PK, K-5",318,10 to 1
702,703,Red Bank Charter School,RED BANK,B,"PK, K-8",198,9 to 1
703,704,Clifton School No. 14,Clifton Public School District,B,"PK, K-5",393,12 to 1
704,705,Carlstadt Public School,CARLSTADT,B,"PK, K-8",537,12 to 1
705,706,Avon Elementary School,Barrington School District,B,"PK, K-4",335,9 to 1
706,707,Fountain Woods Elementary School,Burlington Township Board of Education,B,5-Feb,776,10 to 1
707,708,Franklin School,Bloomfield Board Of Education School District,B,K-6,350,10 to 1
708,709,Burlington County Special Services - Westampton Campus,WESTAMPTON,B,"PK, K-12",437,4 to 1
709,710,Gloucester Township Elementary School,Gloucester Township School District,B,K-5,252,15 to 1
710,711,The Ethical Community Charter School,JERSEY CITY,B,K-8,390,11 to 1
711,712,Warren E. Sooy Jr. Elementary School,Hammonton School District,B,"PK, 2-5",856,14 to 1
712,713,Leonardo Elementary School,Middletown Township Public School District,B,K-5,285,11 to 1
713,714,Belmar Elementary School,BELMAR,B,"PK, K-8",486,9 to 1
714,715,Arthur M. Judd Elementary School,North Brunswick Township School District,B,"PK, K-4",545,9 to 1
715,716,Mullica Township Primary School,Mullica Township School District,B,"PK, K-4",371,12 to 1
716,717,Nellie K. Parker School,Hackensack School District,B,"PK, K-4",533,12 to 1
717,718,Claremont Avenue School,Woodbridge Township School District,B,K-5,293,13 to 1
718,719,John Adams Elementary School,North Brunswick Township School District,B,"PK, K-4",472,10 to 1
719,720,Joy D. Miller School,Egg Harbor Township School District,B,5-Apr,1099,12 to 1
720,721,Fredon Township School,NEWTON,B,"PK, K-6",175,8 to 1
721,722,Columbus School,Lyndhurst School District,B,"PK, K-2",132,13 to 1
722,723,Quinton Township Elementary School,QUINTON,B,"PK, K-8",260,8 to 1
723,724,Ocean Avenue Elementary School,Middletown Township Public School District,B,"PK, K-5",282,11 to 1
724,725,Green-Fields Elementary School,West Deptford Township School District,B,"PK, 3-4",529,14 to 1
725,726,Lynn Crest Elementary School,Woodbridge Township School District,B,"PK, K-5",346,12 to 1
726,727,Marshall Hill School,West Milford Township Public School District,B,K-5,264,11 to 1
727,728,Fairview School,Bloomfield Board Of Education School District,B,"PK, K-6",531,12 to 1
728,729,Washington Community School,Bayonne School District,B,"PK, K-8",685,12 to 1
729,730,Delaware Township School,SERGEANTSVILLE,B,"PK, K-8",356,8 to 1
730,731,E.R. Appleby School,Spotswood Public School District,B,5-Feb,334,10 to 1
731,732,Hurffville Elementary School,Washington Township School District,B,K-5,509,12 to 1
732,733,Midstreams Elementary School,Brick Township Public School District,B,K-5,482,11 to 1
733,734,Memorial Elementary School,Pitman Boro School District,B,"PK, K-1",181,15 to 1
734,735,McKinley Avenue Elementary School,Stafford Township School District,B,4-Mar,557,12 to 1
735,736,W.C.K. Walls Elementary School,Pitman Boro School District,B,"PK, K-5",219,10 to 1
736,737,Eleanor Van Gelder School,Edgewater School District,B,6-Mar,405,17 to 1
737,738,Osbornville Elementary School,Brick Township Public School District,B,K-5,401,11 to 1
738,739,Franklin Elementary School,Roxbury Township School District,B,K-4,319,12 to 1
739,740,New Monmouth Elementary School,Middletown Township Public School District,B,"PK, K-5",359,7 to 1
740,741,Woodbury Heights School,WOODBURY HTS,B,"PK, K-6",248,10 to 1
741,742,Alfred E. Zampella School - P.S. 27,Jersey City School District,B,"PK, K-8",901,13 to 1
742,743,The Golden Door Charter School,JERSEY CITY,B,"PK, K-8",612,15 to 1
743,744,Lawrence Intermediate School,Lawrence Township Public School District,B,6-Apr,816,11 to 1
744,745,Whitehall Elementary School,Monroe Township School District (Williamstown),B,"PK, K-4",357,10 to 1
745,746,Battle Hill Elementary School,Twp Of Union Board Of Education School District,B,"PK, K-4",396,8 to 1
746,747,Valley View Elementary School,Lebanon Township School District,B,"PK, K-4",305,9 to 1
747,748,Franklin Park School,Franklin Township Public School District,B,"PK, K-5",660,10 to 1
748,749,Bobby's Run Elementary School,Lumberton Township Board of Education,B,5-Mar,367,14 to 1
749,750,Maple Road Elementary School,West Milford Township Public School District,B,"PK, K-5",287,14 to 1
750,751,Raritan Valley School,Hazlet Township Public School District,B,4-Jan,255,11 to 1
751,752,Philip G. Vroom School,Bayonne School District,B,"PK, K-8",463,12 to 1
752,753,Robert Morris School,SOUTH BOUND BROOK,B,"PK, K-8",431,12 to 1
753,754,Port Colden Elementary School,Washington Township School District,B,3-Jan,150,10 to 1
754,755,Lambertville Public School,South Hunterdon Regional School District,B,"PK, K-6",228,7 to 1
755,756,Robert L. Horbelt Elementary School,Barnegat Township School District,B,"PK, K-5",524,12 to 1
756,757,Grant Elementary School,Ridgefield Park School District,B,K-6,234,12 to 1
757,758,Blairstown Elementary School,BLAIRSTOWN,B,"PK, K-6",463,11 to 1
758,759,Cliffside Park School No. 5,Cliffside Park School District,B,"PK, K-4",331,11 to 1
759,760,Joseph A. Citta Elementary School,Toms River Regional School District,B,K-5,514,14 to 1
760,762,Wallace Elementary School,Hoboken Public School District,B,"PK, K-5",605,9 to 1
761,763,Milford Borough Elementary School,MILFORD,B,"PK, K-5",53,5 to 1
762,764,Oak Ridge Heights Elementary School,Woodbridge Township School District,B,"PK, K-5",233,15 to 1
763,765,Frank R. Conwell School - P.S. 3,Jersey City School District,B,"PK, K-5",642,12 to 1
764,766,Pvt. Nicholas Minue School,Carteret Public School District,B,"PK, K-5",646,12 to 1
765,767,Westbrook Elementary School,West Milford Township Public School District,B,K-5,215,10 to 1
766,768,Mercerville Elementary School,Hamilton Township School District (Hamilton),B,"PK, K-5",316,13 to 1
767,769,East Dover Elementary School,Dover Public School District,B,K-6,431,12 to 1
768,770,Franklin Township School,WASHINGTON,B,"PK, K-6",208,9 to 1
769,771,Fanny M. Hillers School,Hackensack School District,B,"PK, K-4",570,12 to 1
770,772,Belleville Public School No. 9,Belleville Public Schools,B,K-6,124,16 to 1
771,773,Crawford-Rodriguez Elementary School,Jackson Township School District,B,"PK, K-5",645,14 to 1
772,774,Beverly City School,BEVERLY,B,"PK, K-8",312,9 to 1
773,775,Upper Greenwood Lake School,West Milford Township Public School District,B,"PK, K-6",298,14 to 1
774,776,Oak Knoll Elementary School,Monroe Township School District (Williamstown),B,"PK, K-4",530,12 to 1
775,777,Franklin Elementary School,Twp Of Union Board Of Education School District,B,"PK, K-4",439,12 to 1
776,778,University Heights Elementary School,Hamilton Township School District (Hamilton),B,"PK, K-5",339,11 to 1
777,779,Richard L. Rice School,Evesham Township School District,B,"PK, K-5",595,15 to 1
778,-1,Thomas Jefferson Elementary School,North Arlington School District,B minus,K-5,299,25 to 1
779,-1,Margaret Mace Elementary School,NORTH WILDWOOD,B minus,"PK, K-8",193,6 to 1
780,-1,Clifton School No. 13,Clifton Public School District,B minus,K-5,447,12 to 1
781,-1,Merriam Avenue School,Newton Public School District,B minus,"PK, K-4",491,12 to 1
782,-1,White Township Consolidated School,BELVIDERE,B minus,"PK, K-8",274,9 to 1
783,-1,Montague Elementary School,MONTAGUE,B minus,"PK, K-8",247,12 to 1
784,-1,Hudson School,Union City School District,B minus,"PK, K-3",314,13 to 1
785,-1,Washington School,Lyndhurst School District,B minus,"PK, K-2",200,15 to 1
786,-1,Mary J. Donohoe School,Bayonne School District,B minus,"PK, K-8",459,14 to 1
787,-1,Beatrice Gilmore School,Woodland Park School District,B minus,5-Mar,224,12 to 1
788,-1,Netcong Elementary School,NETCONG,B minus,"PK, K-8",288,9 to 1
789,-1,Ridge & Valley Charter School,FRELINGHUYSEN,B minus,K-8,123,7 to 1
790,-1,Blackwood Elementary School,Gloucester Township School District,B minus,"PK, K-5",643,14 to 1
791,-1,Clifton School No. 11,Clifton Public School District,B minus,K-5,443,12 to 1
792,-1,Ridgeway Elementary School,Manchester Township School District,B minus,"PK, K-5",442,11 to 1
793,-1,Samuel R. Donald School,Bloomingdale School District,B minus,4-Feb,166,10 to 1
794,-1,Larchmont Elementary School,Mount Laurel Township School District,B minus,"PK, K-4",414,12 to 1
795,-1,Alexander Elementary School,Hamilton Township School District (Hamilton),B minus,"PK, K-5",346,13 to 1
796,-1,Olivet Elementary School,Pittsgrove Township School District,B minus,4-Feb,365,11 to 1
797,-1,Memorial School,UNION BEACH,B minus,"PK, K-8",627,10 to 1
798,-1,Passaic Arts & Science Charter School,PASSAIC,B minus,K-12,1701,15 to 1
799,-1,Apshawa Elementary School,West Milford Township Public School District,B minus,K-5,241,10 to 1
800,-1,Lopatcong Elementary School,Lopatcong Township School District,B minus,"PK, K-4",361,14 to 1
801,-1,Lower Alloways Creek School,SALEM,B minus,"PK, K-8",163,8 to 1
802,-1,New Hanover Township School,WRIGHTSTOWN,B minus,"PK, K-8",166,8 to 1
803,-1,Penn Beach Elementary School,Pennsville Public School District,B minus,"PK, 4-5",308,13 to 1
804,-1,Claremont Elementary School,Franklin Township Public School District,B minus,"PK, K-5",689,9 to 1
805,-1,Morgan Elementary School,Hamilton Township School District (Hamilton),B minus,"PK, K-5",306,12 to 1
806,-1,C.B. Lamb Elementary School,North Hanover Township School District,B minus,"PK, K-4",290,9 to 1
807,-1,Lanoka Harbor Elementary School,Lacey Township School District,B minus,K-4,501,12 to 1
808,-1,Herbertsville Elementary School,Brick Township Public School District,B minus,K-5,226,16 to 1
809,-1,Northfield Community Elementary School,Northfield City School District,B minus,"PK, K-4",508,13 to 1
810,-1,South Harrison Township Elementary School,HARRISONVILLE,B minus,"PK, K-6",315,10 to 1
811,-1,Stoy Elementary School,Haddon Township School District,B minus,"PK, K-5",139,13 to 1
812,-1,Meadowbrook Elementary School,Eatontown Public School District,B minus,K-2,310,13 to 1
813,-1,Indian Mills Elementary School,Shamong Township School District,B minus,"PK, K-4",380,11 to 1
814,-1,John M. Bailey School,Bayonne School District,B minus,"PK, K-8",685,15 to 1
815,-1,Winslow Township Elementary School No. 4,Winslow Township School District,B minus,"PK, K-3",534,12 to 1
816,-1,Middle Township Elementary No. 2,Middle Township Public School District,B minus,5-Mar,558,13 to 1
817,-1,TEAM Academy Charter School,NEWARK,B minus,K-12,5263,27 to 1
818,-1,Loring Flemming Elementary School,Gloucester Township School District,B minus,K-5,651,12 to 1
819,-1,Erial Elementary School,Gloucester Township School District,B minus,"PK, K-5",666,13 to 1
820,-1,Southampton Township School No. 2,Southampton Township School District,B minus,5-Mar,224,9 to 1
821,-1,Mahala F. Atchison Elementary School,Tinton Falls School District,B minus,"PK, K-2",472,9 to 1
822,-1,Bayville Elementary School,Berkeley Township School District,B minus,"PK, K-4",516,12 to 1
823,-1,Lounsberry Hollow Middle School,Vernon Township School District,B minus,5-Apr,406,9 to 1
824,-1,Conerly Road School,Franklin Township Public School District,B minus,"PK, K-5",353,10 to 1
825,-1,Somerdale Park School,SOMERDALE,B minus,"PK, K-8",459,10 to 1
826,-1,Schuyler School,Kearny School District,B minus,"PK, K-6",478,12 to 1
827,-1,Florence M. Burd School,Andover Regional School District,B minus,"PK, K-4",244,9 to 1
828,-1,Carteret School,Bloomfield Board Of Education School District,B minus,K-6,387,11 to 1
829,-1,Fort Dix Elementary School,Pemberton Township School District,B minus,"PK, K-5",345,10 to 1
830,-1,Camden's Promise Charter School,CAMDEN,B minus,"PK, K-12",2262,11 to 1
831,-1,Matthew Jago Elementary School,Woodbridge Township School District,B minus,"PK, K-5",420,11 to 1
832,-1,H. Ashton Marsh Elementary School,Absecon Public Schools,B minus,"PK, K-4",527,12 to 1
833,-1,Cliffwood Avenue School,Matawan-Aberdeen Regional School District,B minus,"PK, K-3",332,9 to 1
834,-1,Silver Bay Elementary School,Toms River Regional School District,B minus,"PK, K-5",637,14 to 1
835,-1,Bells Elementary School,Washington Township School District,B minus,K-5,510,11 to 1
836,-1,Thomas Jefferson Elementary School,Washington Township School District,B minus,K-5,544,11 to 1
837,-1,Merchantville Elementary School,MERCHANTVILLE,B minus,"PK, K-8",403,13 to 1
838,-1,Thomas A. Edison Elementary School,Haddon Township School District,B minus,"PK, K-5",151,19 to 1
839,-1,H.L. Beeler School,Evesham Township School District,B minus,K-5,584,15 to 1
840,-1,Lincoln Elementary School,Ridgefield Park School District,B minus,"PK, K-6",394,12 to 1
841,-1,Parkview Elementary School,WESTVILLE,B minus,"PK, K-6",359,11 to 1
842,-1,White Rock Elementary School,Jefferson Township Public Schools,B minus,5-Mar,296,10 to 1
843,-1,Linwood School,North Brunswick Township School District,B minus,6-May,780,10 to 1
844,-1,West Amwell Township School,South Hunterdon Regional School District,B minus,K-6,212,8 to 1
845,-1,Washington Street Elementary School,Toms River Regional School District,B minus,K-5,308,15 to 1
846,-1,Hooper Avenue Elementary School,Toms River Regional School District,B minus,K-5,718,15 to 1
847,-1,Charles Street School,Palmyra Public School District,B minus,"PK, K-5",352,11 to 1
848,-1,Parkview Elementary School,Stratford School District,B minus,"PK, K-3",458,15 to 1
849,-1,Franklin School,Kearny School District,B minus,"PK, K-6",912,11 to 1
850,-1,Dr. Orlando Edreira Academy School No. 26,Elizabeth Public Schools,B minus,"PK, K-8",710,12 to 1
851,-1,Deerfield Township School,ROSENHAYN,B minus,"PK, K-8",268,9 to 1
852,-1,The Queen City Academy Charter School,PLAINFIELD,B minus,K-9,342,13 to 1
853,-1,Lincoln Community School,Bayonne School District,B minus,"PK, K-8",463,10 to 1
854,-1,Clara Barton Elementary School,Bordentown Regional School District,B minus,"PK, K-2",237,11 to 1
855,-1,Grace Downing Elementary School,Runnemede Public School District,B minus,K-3,148,19 to 1
856,-1,Jefferson Elementary School,Wallington School District,B minus,K-3,218,12 to 1
857,-1,Henry E. Harris School,Bayonne School District,B minus,"PK, K-8",697,12 to 1
858,-1,Branch Brook School,Newark Public School District,B minus,"PK, K-4",111,8 to 1
859,-1,Richmond Avenue School,Atlantic City School District,B minus,"PK, K-8",679,12 to 1
860,-1,John P. Faber Elementary School,Dunellen Public School District,B minus,"PK, K-5",605,11 to 1
861,-1,The Village Charter School,TRENTON,B minus,K-8,363,13 to 1
862,-1,Taunton School,Howell Township Public School District,B minus,K-2,362,12 to 1
863,-1,Chews Elementary School,Gloucester Township School District,B minus,"PK, K-5",663,12 to 1
864,-1,Clifton School No. 15,Clifton Public School District,B minus,"PK, K-5",319,12 to 1
865,-1,Cedar Creek Elementary School,Lacey Township School District,B minus,K-4,496,11 to 1
866,-1,Arthur Rann Elementary School,Galloway Township Public Schools,B minus,K-6,669,11 to 1
867,-1,Lake Tract School,Deptford Township Public School District,B minus,6-Feb,405,12 to 1
868,-1,John F. Kennedy Elementary School,Jamesburg Public School District,B minus,"PK, K-5",497,12 to 1
869,-1,Eagleswood Elementary School,WEST CREEK,B minus,"PK, K-6",126,7 to 1
870,-1,Jefferson School,Union City School District,B minus,"PK, K-4",348,13 to 1
871,-1,Clifton School No. 5,Clifton Public School District,B minus,K-5,387,12 to 1
872,-1,Wedgwood Elementary School,Washington Township School District,B minus,5-Jan,498,11 to 1
873,-1,McGalliard Elementary School,Hamilton Township School District (Hamilton),B minus,"PK, K-5",262,15 to 1
874,-1,Deerfield Terrace School No. 9,Linden Public School District,B minus,"PK, K-5",333,11 to 1
875,-1,Thomas G. Connors Elementary School,Hoboken Public School District,B minus,K-5,256,8 to 1
876,-1,Christa McAuliffe School - P.S. 28,Jersey City School District,B minus,"PK, K-8",1012,13 to 1
877,-1,Rolling Hills Elementary School,Vernon Township School District,B minus,3-Feb,425,12 to 1
878,-1,Hardyston Township Elementary School,Hardyston Township School District,B minus,"PK, K-4",358,11 to 1
879,-1,Cedar Grove Elementary School,Toms River Regional School District,B minus,"PK, K-5",895,16 to 1
880,-1,Mansfield Township Elementary School,PORT MURRAY,B minus,"PK, K-6",586,10 to 1
881,-1,First Avenue School,Newark Public School District,B minus,"PK, K-8",1149,16 to 1
882,-1,Oak Valley Elementary School,Deptford Township Public School District,B minus,6-Feb,359,12 to 1
883,-1,Lincoln Elementary School,Rockaway Borough School District,B minus,"PK, K-3",249,10 to 1
884,-1,Fairmount School,Hackensack School District,B minus,"PK, K-4",617,15 to 1
885,-1,Paradise Knoll School,West Milford Township Public School District,B minus,K-5,180,12 to 1
886,-1,Marlton Elementary School,Evesham Township School District,B minus,K-5,452,15 to 1
887,-1,ECO Charter School,CAMDEN,B minus,K-8,209,
888,-1,West Dover Elementary School,Toms River Regional School District,B minus,K-5,381,14 to 1
889,-1,Horace Mann School,Bayonne School District,B minus,"PK, K-8",609,13 to 1
890,-1,Great Oaks Legacy Charter School,NEWARK,B minus,"PK, K-12",1880,32 to 1
891,-1,Sylvia Rosenauer Elementary School,Jackson Township School District,B minus,"PK, K-5",268,10 to 1
892,-1,Arthur Stanlick Elementary School,Jefferson Township Public Schools,B minus,5-Mar,291,12 to 1
893,-1,Strawbridge Elementary School,Haddon Township School District,B minus,K-5,181,16 to 1
894,-1,Pohatcong Township School,PHILLIPSBURG,B minus,"PK, K-8",289,10 to 1
895,-1,Paterson Arts & Science Charter School,PATERSON,B minus,K-12,943,14 to 1
896,-1,Port Reading School,Woodbridge Township School District,B minus,"PK, K-5",372,12 to 1
897,-1,Woodrow Wilson School No. 5,Garfield Public School District,B minus,"PK, K-5",280,12 to 1
898,-1,Roosevelt School,Kearny School District,B minus,"PK, K-6",379,11 to 1
899,-1,Gilbert Avenue Elementary School,Elmwood Park School District,B minus,"PK, K-5",419,15 to 1
900,-1,Rafael de J. Cordero School - P.S. 37,Jersey City School District,B minus,"PK, K-8",814,13 to 1
901,-1,Delran Intermediate School,Delran Township School District,B minus,5-Mar,685,13 to 1
902,-1,J. Harold Van Zant Elementary School,Evesham Township School District,B minus,K-5,529,13 to 1
903,-1,Thomas Sharp Elementary School,Collingswood Public School District,B minus,"PK, K-5",215,12 to 1
904,-1,Academy Street Elementary School,Dover Public School District,B minus,"PK, K-6",516,14 to 1
905,-1,Harding Elementary School,Kenilworth School District,B minus,"PK, K-6",692,11 to 1
906,-1,John P. Holland Charter School,PATERSON,B minus,"PK, K-8",548,16 to 1
907,-1,Long Memorial Elementary School,Saddle Brook School District,B minus,K-6,278,12 to 1
908,-1,Marie V. Duffy Elementary School,Wharton Borough School District,B minus,"PK, K-5",454,10 to 1
909,-1,Washington Memorial Elementary School,Washington Borough School District,B minus,6-Feb,268,11 to 1
910,-1,Ronald Reagan Academy School No. 30,Elizabeth Public Schools,B minus,"PK, K-8",809,14 to 1
911,-1,Avenel Street School,Woodbridge Township School District,B minus,K-5,384,14 to 1
912,-1,Clifton School No. 3,Clifton Public School District,B minus,K-5,282,17 to 1
913,-1,Martin Luther King Jr. School - P.S. 11,Jersey City School District,B minus,"PK, K-8",865,14 to 1
914,-1,Ocean Township Elementary School,Township of Ocean School District,B minus,"PK, K-4",372,8 to 1
915,-1,Walnut Street Elementary School,Toms River Regional School District,B minus,K-5,751,12 to 1
916,-1,Long Beach Island Grade School,Long Beach Island Consolidated School District,B minus,6-Mar,106,6 to 1
917,-1,Aura Elementary School,GLASSBORO,B minus,"PK, K-6",311,9 to 1
918,-1,School No. 5,Linden Public School District,B minus,"PK, K-5",275,11 to 1
919,-1,Anna L. Klein School,GUTTENBERG,B minus,"PK, K-8",971,11 to 1
920,-1,Oxford Central School,OXFORD,B minus,"PK, K-8",267,10 to 1
921,-1,Elizabeth Avenue School,Franklin Township Public School District,B minus,"PK, K-5",500,10 to 1
922,-1,Alloway Township School,ALLOWAY,B minus,"PK, K-8",297,11 to 1
923,-1,Theodore Roosevelt School,Weehawken Public School District,B minus,6-Mar,404,9 to 1
924,-1,Whiting Elementary School,Manchester Township School District,B minus,"PK, K-5",243,9 to 1
925,-1,Gibbsboro School,GIBBSBORO,B minus,"PK, K-8",266,10 to 1
926,-1,Dennis Township Elementary/Middle School,Dennis Township School District,B minus,8-Mar,281,9 to 1
927,-1,Woodbine Avenue School,Woodbridge Township School District,B minus,K-5,513,15 to 1
928,-1,Dr. Albert Einstein Academy School No. 29,Elizabeth Public Schools,B minus,"PK, K-8",843,13 to 1
929,-1,Drum Point Road Elementary School,Brick Township Public School District,B minus,K-5,483,12 to 1
930,-1,Green Street Elementary School,Phillipsburg School District,B minus,5-Mar,658,10 to 1
931,-1,Smithville Elementary School,Galloway Township Public Schools,B minus,"PK, K-6",661,10 to 1
932,-1,Cedar Mountain Primary School,Vernon Township School District,B minus,K-1,400,13 to 1
933,-1,Charles E. Truefurt School - P.S. 8,Jersey City School District,B minus,"PK, K-5",755,11 to 1
934,-1,Estell Manor Elementary School,ESTELL MANOR,B minus,K-8,195,13 to 1
935,-1,Robinson Elementary School,Hamilton Township School District (Hamilton),B minus,"PK, K-5",410,14 to 1
936,-1,Wantage Elementary School,Sussex-Wantage Regional School District,B minus,5-Mar,340,10 to 1
937,-1,Clifton School No. 1,Clifton Public School District,B minus,K-5,245,13 to 1
938,-1,Lillian M. Dunfee Elementary School,Barnegat Township School District,B minus,"PK, K-5",453,15 to 1
939,-1,Haledon Public School,HALEDON,B minus,"PK, K-8",1038,11 to 1
940,-1,Cecil S. Collins Elementary School,Barnegat Township School District,B minus,"PK, K-5",508,9 to 1
941,-1,Reeds Road Elementary School,Galloway Township Public Schools,B minus,K-6,537,10 to 1
942,-1,School No. 8,Linden Public School District,B minus,"PK, K-5",343,11 to 1
943,-1,John F. Kennedy Memorial Elementary School,Berlin Township School District,B minus,"PK, K-3",318,14 to 1
944,-1,Ann Street School,Newark Public School District,B minus,"PK, K-8",1272,15 to 1
945,-1,Deal School,DEAL,B minus,K-8,161,9 to 1
946,-1,Hudson Arts & Science Charter School,KEARNY,B minus,K-8,773,16 to 1
947,-1,North Dover Elementary School,Dover Public School District,B minus,"PK, K-6",696,15 to 1
948,-1,Madison Elementary School,Rahway Public School District,B minus,"PK, K-6",357,14 to 1
949,-1,Ford Avenue School,Woodbridge Township School District,B minus,K-5,258,13 to 1
950,-1,Good Intent School,Deptford Township Public School District,B minus,6-Feb,347,11 to 1
951,-1,Lore Elementary School,Ewing Township School District,B minus,"PK, K-5",530,12 to 1
952,-1,William Shemin Midtown Community School #8,Bayonne School District,B minus,"PK, K-8",1258,15 to 1
953,-1,Oliver Street School,Newark Public School District,B minus,"PK, K-8",1080,15 to 1
954,-1,Roosevelt Elementary School,Ridgefield Park School District,B minus,K-6,380,13 to 1
955,-1,Joseph T. Donahue Elementary School,Barnegat Township School District,B minus,"PK, K-5",317,8 to 1
956,-1,Holly Hills Elementary School,Westampton Township Public School District,B minus,"PK, K-3",470,13 to 1
957,-1,Waterford Elementary School,Waterford Township School District,B minus,6-Mar,439,11 to 1
958,-1,Sunnybrae Elementary School,Hamilton Township School District (Hamilton),B minus,"PK, K-5",322,12 to 1
959,-1,Alexander Hamilton Academy,Paterson Public School District,B minus,K-8,537,16 to 1
960,-1,Chelsea Heights School,Atlantic City School District,B minus,"PK, K-8",332,11 to 1
961,-1,Lafayette Estates School,Woodbridge Township School District,B minus,K-5,459,12 to 1
962,-1,Sayen Elementary School,Hamilton Township School District (Hamilton),B minus,"PK, K-5",274,14 to 1
963,-1,John H. Glenn School,Pine Hill School District,B minus,"PK, K-5",449,12 to 1
964,-1,Beachwood Elementary School,Toms River Regional School District,B minus,K-5,471,13 to 1
965,-1,Clifton School No. 12,Clifton Public School District,B minus,"PK, K-5",616,11 to 1
966,-1,Garfield School,Kearny School District,B minus,"PK, K-6",483,11 to 1
967,-1,Washington/Memorial Elementary School,Little Ferry Public School District,B minus,"PK, K-4",473,25 to 1
968,-1,Union County TEAMS Charter School,PLAINFIELD,B minus,K-12,400,27 to 1
969,-1,Roland Rogers Elementary School,Galloway Township Public Schools,C+,"PK, K-6",563,11 to 1
970,-1,Belleville Public School No. 4,Belleville Public Schools,C+,"PK, K-6",443,13 to 1
971,-1,East Dover Elementary School,Toms River Regional School District,C+,"PK, K-5",743,13 to 1
972,-1,Yardville Heights Elementary School,Hamilton Township School District (Hamilton),C+,"PK, K-5",289,13 to 1
973,-1,Pine Grove Manor School,Franklin Township Public School District,C+,"PK, K-5",361,9 to 1
974,-1,Hamilton Intermediate School,Harrison Public Schools,C+,5-Apr,281,11 to 1
975,-1,Belleville Public School No. 5,Belleville Public Schools,C+,K-6,399,15 to 1
976,-1,Emma Havens Young Elementary School,Brick Township Public School District,C+,K-5,732,12 to 1
977,-1,Winslow Township Elementary School No. 3,Winslow Township School District,C+,"PK, K-3",483,12 to 1
978,-1,Franklin School,Saddle Brook School District,C+,K-6,273,11 to 1
979,-1,Ethel M. Burke Elementary School,Bellmawr Public School District,C+,K-4,248,10 to 1
