,ranking,school,district,rating,grade,student,ratio
414,416,Woodcrest Elementary School,Cherry Hill Township School District,A minus,K-5,363,13 to 1
415,417,Canfield Avenue School,Mine Hill Township School District,A minus,"PK, K-6",335,10 to 1
416,418,Bradford Elementary School,Montclair Public Schools,A minus,"PK, K-5",413,12 to 1
417,419,Chairville Elementary School,Medford Township School District,A minus,K-5,359,10 to 1
418,420,Glenview Avenue Elementary,Haddon Heights School District,A minus,K-6,268,9 to 1
419,421,River Plaza Elementary School,Middletown Township Public School District,A minus,K-5,272,11 to 1
420,422,Wanaque Elementary School,Wanaque School District,A minus,"PK, K-8",503,10 to 1
421,423,Woodland Elementary School,Monroe Township School District,A minus,5-Apr,314,11 to 1
422,424,Morris Goodwin School,Greenwich Township School District,A minus,"PK, K-8",79,8 to 1
423,425,Manito Elementary School,Oakland Public School District,A minus,K-5,259,9 to 1
424,426,Laurel Springs School,LAUREL SPRINGS,A minus,"PK, K-6",179,12 to 1
425,427,Ravine Drive Elementary School,Matawan-Aberdeen Regional School District,A minus,K-4,342,13 to 1
426,428,Virgil Grissom Elementary School,Old Bridge Township School District,A minus,K-5,183,11 to 1
427,429,William F. Halloran School No. 22,Elizabeth Public Schools,A minus,"PK, 2-8",1116,15 to 1
428,430,Chesterfield Elementary School,Chesterfield Township School District,A minus,"PK, K-6",760,11 to 1
429,431,Horace Mann Elementary School,Cherry Hill Township School District,A minus,K-5,260,11 to 1
430,432,John E. Riley Elementary School,South Plainfield School District,A minus,"PK, K-4",342,11 to 1
431,433,Whiton Elementary School,Branchburg Township School District,A minus,"PK, K-3",620,10 to 1
432,434,Stephen J. Gerace Elementary School,Pequannock Township School District,A minus,K-5,278,13 to 1
433,435,Valley Road Elementary School,Clark Township Public Schools,A minus,K-5,435,11 to 1
434,436,Bloomsbury Elementary School,BLOOMSBURY,A minus,"PK, K-8",89,6 to 1
435,437,Newell Elementary School,Upper Freehold Regional School District,A minus,"PK, K-4",505,10 to 1
436,438,Nut Swamp Elementary School,Middletown Township Public School District,A minus,K-5,514,13 to 1
437,439,Heights Elementary School,Oakland Public School District,A minus,"PK, K-5",344,11 to 1
438,440,Lafayette Township School,Lafayette Township School District,A minus,"PK, K-8",194,8 to 1
439,441,Oldmans Township School,Oldmans Township School District,A minus,"PK, K-8",286,12 to 1
440,442,Woodside Elementary School,River Vale Public School District,A minus,"PK, K-5",346,16 to 1
441,443,Salem Drive School,Hanover Township School District,A minus,K-5,245,9 to 1
442,444,Stillwater Township School,Stillwater Township School District,A minus,"PK, K-6",252,8 to 1
443,445,Fernbrook Elementary School,Randolph Township School District,A minus,K-5,531,11 to 1
444,446,Seventh Avenue Elementary School,Haddon Heights School District,A minus,K-6,128,16 to 1
445,447,Samuel Mickle School,East Greenwich Township School District,A minus,6-Mar,724,11 to 1
446,448,Sicomac Elementary School,Wyckoff Township Public School District,B+,"PK, K-5",279,10 to 1
447,449,Mark Newbie Elementary School,Collingswood Public School District,B+,K-5,130,11 to 1
448,450,Milton H. Allen School,Medford Township School District,B+,K-5,340,12 to 1
449,451,Lafayette Elementary School,Wayne Township Public School District,B+,"PK, K-5",299,14 to 1
450,452,Benjamin Franklin Elementary School,Edison Township School District,B+,K-5,586,12 to 1
451,453,West Freehold Elementary School,Freehold Township School District,B+,K-5,489,10 to 1
