,common,A+,A,A minus,school_x,10,9,8,school_y
126,Hamilton Township,0,0,0,2,0,0,0,18
127,Hammonton,0,0,0,2,0,0,0,1
128,Hanover Township,0,0,2,3,0,0,2,3
129,Harding Township,0,1,0,1,1,0,0,1
130,Hardyston Township,0,0,0,1,0,0,0,2
131,Harrington Park,1,0,0,1,1,0,0,1
132,Harrison,0,0,0,1,0,0,0,2
133,Harrison Township,0,0,0,2,0,0,2,2
134,Hasbrouck Heights,0,1,1,2,0,1,1,2
135,Haworth,0,1,0,1,0,1,0,1
136,Hawthorne,0,0,0,3,0,0,0,3
137,Hazlet Township,0,0,0,4,0,0,1,5
138,Highland Park,0,0,0,2,0,0,0,1
139,Hillsborough Township,0,5,1,6,0,5,1,7
140,Hillsdale,0,1,1,2,0,2,1,3
141,Ho-Ho-Kus,1,0,0,1,1,0,0,1
142,Hoboken,0,2,0,6,0,1,0,3
143,Holmdel Township,0,2,0,2,0,2,0,2
144,Hopatcong Borough,0,0,0,2,0,0,0,2
145,Hope Township,0,0,0,1,0,0,0,1
146,Hopewell Valley Regional,1,3,0,4,1,3,0,4
147,Howell Township,0,0,1,10,0,0,2,5
148,Irvington,0,0,0,1,0,0,0,8
149,Island Heights,0,1,0,1,0,1,0,1
150,Jackson Township,0,0,0,6,0,0,1,6
151,Jamesburg,0,0,0,1,0,0,0,1
152,Jefferson Township,0,0,0,5,0,0,0,2
153,Jersey City,0,2,1,35,1,0,1,26
154,Keansburg,0,0,0,1,0,0,0,1
155,Kearny,0,0,0,6,0,0,0,5
156,Kenilworth,0,0,0,1,0,0,0,1
157,Keyport,0,0,0,1,0,0,0,1
158,Kinnelon,0,1,0,2,0,1,0,1
159,Knowlton Township,0,0,0,1,0,0,0,1
160,Lacey Township,0,0,0,3,0,0,0,4
161,Lafayette Township,0,0,1,1,0,0,0,1
162,Laurel Springs,0,0,1,1,0,0,0,1
163,Lavallette Borough,0,1,0,1,0,0,1,1
164,Lawnside,0,0,0,1,0,0,0,1
165,Lawrence Township,0,0,0,4,0,0,0,6
166,Lebanon Borough,0,0,0,1,0,0,0,1
167,Lebanon Township,0,0,0,1,0,0,0,2
168,Leonia,0,1,0,1,0,0,1,1
169,Lincoln Park,0,0,0,1,0,1,1,2
170,Linden,0,0,0,8,0,0,0,8
171,Lindenwold,0,0,0,2,0,0,0,3
172,Linwood City,0,0,1,1,0,2,0,2
173,Little Egg Harbor Township,0,0,0,2,0,0,0,2
174,Little Falls Township,0,1,0,2,1,1,0,2
175,Little Ferry,0,0,0,1,0,0,0,2
176,Little Silver Boro,0,1,0,1,1,1,0,2
177,Livingston,4,2,0,6,4,3,0,7
178,Lodi,0,0,0,5,0,0,2,5
179,Logan Township,0,0,1,2,0,0,1,1
180,Long Beach Island Consolidated,0,0,0,2,0,0,0,1
181,Long Branch,0,0,0,6,0,0,0,3
182,Long Hill Township,0,0,1,2,0,0,1,1
183,Lopatcong Township,0,0,0,1,0,0,0,2
184,Lower Township Elementary,0,0,0,3,0,0,0,2
185,Lyndhurst,0,0,0,5,0,0,1,4
186,Madison,0,1,2,3,0,1,2,3
187,Magnolia,0,0,0,1,0,0,0,1
188,Mahwah Township,0,4,0,4,2,1,1,4
189,Manalapan-Englishtown Regional,0,0,3,4,1,4,1,6
190,Manasquan,0,0,1,1,0,0,1,1
191,Manchester Township,0,0,0,4,0,0,0,3
192,Mansfield Township,0,0,1,1,0,0,1,1
193,Mantua Township,0,0,2,3,0,0,1,2
194,Maple Shade,0,0,0,3,0,0,0,2
195,Margate City,0,1,0,1,1,1,0,2
196,Marlboro Township,0,3,2,6,1,2,2,5
197,Matawan-Aberdeen Regional,0,0,2,4,0,1,0,4
198,Maywood,0,1,0,2,1,1,0,2
199,Medford Lakes,0,0,0,2,0,0,0,1
200,Medford Township,0,0,3,5,0,2,4,6
201,Mendham Borough,0,1,0,1,1,1,0,2
202,Mendham Township,0,1,0,1,2,0,0,2
203,Merchantville,0,0,0,1,0,0,0,1
204,Metuchen,0,0,1,2,0,1,0,2
205,Middle Township,0,0,0,2,0,0,0,1
206,Middlesex Borough,0,0,0,3,0,0,0,4
207,Middletown Township,0,0,6,11,0,2,4,12
208,Midland Park,0,0,1,2,0,0,1,1
209,Millburn Township,6,0,0,6,6,0,0,6
210,Millstone Township,0,0,0,2,0,0,0,1
211,Millville,0,0,0,6,0,0,0,5
212,Mine Hill Township,0,0,1,1,0,0,0,1
213,Monmouth Beach Elementary,0,1,0,1,1,0,0,1
214,Monroe Township,0,1,3,8,1,1,1,10
215,Montclair,0,1,5,7,0,0,1,6
216,Montgomery Township,0,1,0,2,1,0,1,2
217,Montvale,0,1,0,1,0,2,0,2
218,Montville Township,0,5,0,5,2,2,1,5
219,Moonachie,0,0,1,2,0,0,0,1
220,Moorestown Township,2,2,0,4,2,0,2,4
221,Morris,0,0,2,7,0,0,0,4
222,Morris Plains,0,1,0,2,0,1,0,1
223,Mount Arlington,0,0,0,2,0,0,1,1
224,Mount Holly Township,0,0,0,2,0,0,0,1
225,Mount Laurel Township,0,0,0,6,0,0,0,7
226,Mount Olive Township,0,2,2,4,0,0,2,4
227,Mountain Lakes,1,0,0,2,1,0,0,1
228,Mountainside,0,0,1,2,0,1,0,1
229,Mullica Township,0,0,0,1,0,0,0,2
230,Neptune City,0,0,0,1,0,0,0,1
231,Neptune Township,0,0,0,5,0,0,0,5
232,New Brunswick,0,0,0,9,0,0,0,9
233,New Milford,0,0,2,2,0,1,1,2
234,New Providence,0,2,0,3,2,0,0,2
235,Newton,0,0,1,3,0,0,0,2
236,North Arlington,0,0,0,3,0,0,1,3
237,North Bergen,0,0,0,6,0,0,0,6
238,North Brunswick Township,0,0,0,5,0,0,0,4
239,North Caldwell,0,2,0,2,2,0,0,2
240,North Haledon,0,0,0,1,0,0,0,2
241,North Hanover Township,0,0,0,2,0,0,0,2
242,North Wildwood,0,0,0,1,0,0,0,1
243,Northfield City,0,0,0,1,0,0,0,2
244,Northvale,0,1,0,1,0,1,0,1
245,Norwood,0,1,0,1,0,0,1,1
246,Nutley,0,0,4,5,0,1,1,5
247,Oakland,0,0,2,3,0,0,2,3
248,Oaklyn,0,0,0,1,0,0,0,1
249,Ocean City,0,0,1,1,0,0,0,2
250,Ocean Gate,0,0,0,1,0,0,0,1
251,Oceanport,0,1,0,1,0,2,0,2
252,Old Bridge Township,0,2,7,11,2,0,1,12
253,Old Tappan,0,1,0,1,0,2,0,2
254,Oldmans Township,0,0,1,1,0,0,0,1
255,Oradell,0,1,0,1,1,0,0,1
256,Orange,0,0,0,8,0,0,0,7
257,Palisades Park,0,0,0,2,0,0,0,1
258,Palmyra,0,0,0,1,0,0,0,1
259,Paramus,0,1,4,12,0,1,5,7
260,Park Ridge,0,2,0,2,0,2,0,2
261,Parsippany-Troy Hills Township,0,6,4,10,1,2,5,10
262,Passaic City,0,0,0,13,0,0,0,10
263,Paterson,0,0,0,38,1,0,0,34
264,Paulsboro,0,0,0,2,0,0,0,1
265,Pemberton Township,0,0,0,4,0,0,0,5
266,Penns Grove-Carneys Point Regional,0,0,0,3,0,0,0,2
267,Pennsauken Township,0,0,0,5,0,0,0,6
268,Pennsville,0,0,0,3,0,0,0,2
269,Pequannock Township,0,0,3,3,1,1,1,3
270,Perth Amboy,0,0,0,7,0,0,0,8
271,Phillipsburg,0,0,0,5,0,0,0,1
272,Pine Hill,0,0,0,2,0,0,0,2
273,Piscataway Township,0,0,3,6,0,0,2,6
274,Pitman Boro,0,0,0,3,0,0,1,3
